darija,phoneticTranscription,translations.english,translations.french,translations.spanish,translations.italian,translations.german,category.english,category.french,category.spanish,category.italian,category.german,scenario.english,scenario.french,scenario.spanish,scenario.italian,scenario.german,pictureLink,likes,difficulty,estimated_difficulty,__v,updatedAt,cultural_context,meaning_details,usage_contexts,related_content
فين الصيدلية؟,Fin s-saydaliya?,Where is the pharmacy?,Où est la pharmacie ?,¿Dónde está la farmacia?,Dov'è la farmacia?,Wo ist die Apotheke?,Health,Santé,Salud,Salute,Gesundheit,Locating a pharmacy,Trouver une pharmacie,Localizar una farmacia,Trovare una farmacia,Eine Apotheke finden,/images/pharmacy.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين الصيدلية؟' is essential for tourists visiting Morocco, especially when navigating Health situations like Locating a pharmacy."", 'examples': [""Example in a souk (market): 'فين الصيدلية؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين الصيدلية؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين الصيدلية؟' is 'Where is the pharmacy?'."", 'figurative': ""In a tourist context, it can imply 'Where is the pharmacy?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين الصيدلية؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين الصيدلية؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين الصيدلية؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين الصيدلية؟'.""], 'regional_variations': [""In northern Morocco, 'فين الصيدلية؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين الصيدلية؟?' when asking for the menu."", ""In a taxi: 'فين الصيدلية؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين الصيدلية؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين الصيدلية؟' for different intents.""], 'related_phrases': [""Phrases like 'فين الصيدلية؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين الصيدلية؟ in context of 'Locating a pharmacy'.""]}"
بغيت نشري تذكرة,Bghit nshri tadhkira,I want to buy a ticket,Je veux acheter un billet,Quiero comprar un billete,Voglio comprare un biglietto,Ich möchte eine Fahrkarte kaufen,Transportation,Transport,Transporte,Trasporti,Verkehr,Buying a ticket,Acheter un billet,Comprar un billete,Comprare un biglietto,Eine Fahrkarte kaufen,/images/buy_ticket.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'بغيت نشري تذكرة' is essential for tourists visiting Morocco, especially when navigating Transportation situations like Buying a ticket."", 'examples': [""Example in a souk (market): 'بغيت نشري تذكرة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نشري تذكرة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نشري تذكرة' is 'I want to buy a ticket'."", 'figurative': ""In a tourist context, it can imply 'I want to buy a ticket' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نشري تذكرة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نشري تذكرة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نشري تذكرة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نشري تذكرة'.""], 'regional_variations': [""In northern Morocco, 'بغيت نشري تذكرة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نشري تذكرة?' when asking for the menu."", ""In a taxi: 'بغيت نشري تذكرة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نشري تذكرة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نشري تذكرة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نشري تذكرة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نشري تذكرة in context of 'Buying a ticket'.""]}"
واش عندكم منيو بالإنجليزية؟,Wash 3andkum menu bl-ingliziya?,Do you have an English menu?,Avez-vous un menu en anglais ?,¿Tienen un menú en inglés?,Avete un menù in inglese?,Haben Sie eine englische Speisekarte?,Dining,Restaurant,Restaurante,Ristorante,Restaurant,Asking for an English menu,Demander un menu en anglais,Pedir un menú en inglés,Chiedere un menù in inglese,Nach einer englischen Speisekarte fragen,/images/english_menu.jpg,2,advanced,hard,0,,"{'explanation': ""The phrase 'واش عندكم منيو بالإنجليزية؟' is essential for tourists visiting Morocco, especially when navigating Dining situations like Asking for an English menu."", 'examples': [""Example in a souk (market): 'واش عندكم منيو بالإنجليزية؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش عندكم منيو بالإنجليزية؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش عندكم منيو بالإنجليزية؟' is 'Do you have an English menu?'."", 'figurative': ""In a tourist context, it can imply 'Do you have an English menu?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش عندكم منيو بالإنجليزية؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش عندكم منيو بالإنجليزية؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش عندكم منيو بالإنجليزية؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش عندكم منيو بالإنجليزية؟'.""], 'regional_variations': [""In northern Morocco, 'واش عندكم منيو بالإنجليزية؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش عندكم منيو بالإنجليزية؟?' when asking for the menu."", ""In a taxi: 'واش عندكم منيو بالإنجليزية؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش عندكم منيو بالإنجليزية؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش عندكم منيو بالإنجليزية؟' for different intents.""], 'related_phrases': [""Phrases like 'واش عندكم منيو بالإنجليزية؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش عندكم منيو بالإنجليزية؟ in context of 'Asking for an English menu'.""]}"
فين المتحف؟,Fin l-mathaf?,Where is the museum?,Où est le musée ?,¿Dónde está el museo?,Dov'è il museo?,Wo ist das Museum?,Culture,Culture,Cultura,Cultura,Kultur,Locating a museum,Trouver un musée,Localizar un museo,Trovare un museo,Ein Museum finden,/images/museum.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين المتحف؟' is essential for tourists visiting Morocco, especially when navigating Culture situations like Locating a museum."", 'examples': [""Example in a souk (market): 'فين المتحف؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين المتحف؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين المتحف؟' is 'Where is the museum?'."", 'figurative': ""In a tourist context, it can imply 'Where is the museum?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين المتحف؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين المتحف؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين المتحف؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين المتحف؟'.""], 'regional_variations': [""In northern Morocco, 'فين المتحف؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين المتحف؟?' when asking for the menu."", ""In a taxi: 'فين المتحف؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين المتحف؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين المتحف؟' for different intents.""], 'related_phrases': [""Phrases like 'فين المتحف؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين المتحف؟ in context of 'Locating a museum'.""]}"
بغيت نكري سيارة,Bghit nkri siyara,I want to rent a car,Je veux louer une voiture,Quiero alquilar un coche,Voglio noleggiare un'auto,Ich möchte ein Auto mieten,Transportation,Transport,Transporte,Trasporti,Verkehr,Renting a car,Louer une voiture,Alquilar un coche,Noleggiare un'auto,Ein Auto mieten,/images/rent_car.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'بغيت نكري سيارة' is essential for tourists visiting Morocco, especially when navigating Transportation situations like Renting a car."", 'examples': [""Example in a souk (market): 'بغيت نكري سيارة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت نكري سيارة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت نكري سيارة' is 'I want to rent a car'."", 'figurative': ""In a tourist context, it can imply 'I want to rent a car' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت نكري سيارة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت نكري سيارة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت نكري سيارة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت نكري سيارة'.""], 'regional_variations': [""In northern Morocco, 'بغيت نكري سيارة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت نكري سيارة?' when asking for the menu."", ""In a taxi: 'بغيت نكري سيارة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت نكري سيارة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت نكري سيارة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت نكري سيارة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت نكري سيارة in context of 'Renting a car'.""]}"
واش كاين مرشد سياحي؟,Wash kayn murshid siyahi?,Is there a tour guide available?,Y a-t-il un guide touristique disponible ?,¿Hay un guía turístico disponible?,C'è una guida turistica disponibile?,Gibt es einen verfügbaren Fremdenführer?,Tourism,Tourisme,Turismo,Turismo,Tourismus,Asking for a tour guide,Demander un guide touristique,Pedir un guía turístico,Chiedere una guida turistica,Nach einem Fremdenführer fragen,/images/tour_guide.jpg,12,intermediate,hard,0,,"{'explanation': ""The phrase 'واش كاين مرشد سياحي؟' is essential for tourists visiting Morocco, especially when navigating Tourism situations like Asking for a tour guide."", 'examples': [""Example in a souk (market): 'واش كاين مرشد سياحي؟' - used to ask for prices or greetings."", ""Polite interaction: 'واش كاين مرشد سياحي؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واش كاين مرشد سياحي؟' is 'Is there a tour guide available?'."", 'figurative': ""In a tourist context, it can imply 'Is there a tour guide available?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واش كاين مرشد سياحي؟'."", ""Shortened form: 'واش'.""], 'similar_phrases': [""Phrases with similar intent: 'واش كاين مرشد سياحي؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واش كاين مرشد سياحي؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واش كاين مرشد سياحي؟'.""], 'regional_variations': [""In northern Morocco, 'واش كاين مرشد سياحي؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واش كاين مرشد سياحي؟?' when asking for the menu."", ""In a taxi: 'واش كاين مرشد سياحي؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واش كاين مرشد سياحي؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واش كاين مرشد سياحي؟' for different intents.""], 'related_phrases': [""Phrases like 'واش كاين مرشد سياحي؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واش كاين مرشد سياحي؟ in context of 'Asking for a tour guide'.""]}"
فين نلقى الصرف؟,Fin nelqa s-sarf?,Where can I exchange money?,Où puis-je échanger de l'argent ?,¿Dónde puedo cambiar dinero?,Dove posso cambiare dei soldi?,Wo kann ich Geld wechseln?,Finance,Finance,Finanzas,Finanza,Finanzen,Locating a currency exchange,Trouver un bureau de change,Localizar una casa de cambio,Trovare un ufficio di cambio,Eine Wechselstube finden,/images/currency_exchange.jpg,12,intermediate,medium,0,,"{'explanation': ""The phrase 'فين نلقى الصرف؟' is essential for tourists visiting Morocco, especially when navigating Finance situations like Locating a currency exchange."", 'examples': [""Example in a souk (market): 'فين نلقى الصرف؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين نلقى الصرف؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين نلقى الصرف؟' is 'Where can I exchange money?'."", 'figurative': ""In a tourist context, it can imply 'Where can I exchange money?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين نلقى الصرف؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين نلقى الصرف؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين نلقى الصرف؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين نلقى الصرف؟'.""], 'regional_variations': [""In northern Morocco, 'فين نلقى الصرف؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين نلقى الصرف؟?' when asking for the menu."", ""In a taxi: 'فين نلقى الصرف؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين نلقى الصرف؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين نلقى الصرف؟' for different intents.""], 'related_phrases': [""Phrases like 'فين نلقى الصرف؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين نلقى الصرف؟ in context of 'Locating a currency exchange'.""]}"
بغيت قهوة,Bghit qahwa,I want coffee,Je veux un café,Quiero un café,Voglio un caffè,Ich möchte einen Kaffee,Food and Drink,Nourriture et Boissons,Comida y Bebida,Cibo e Bevande,Essen und Trinken,Ordering coffee,Commander un café,Pedir un café,Ordinare un caffè,Einen Kaffee bestellen,/images/coffee.jpg,25,beginner,medium,0,,"{'explanation': ""The phrase 'بغيت قهوة' is essential for tourists visiting Morocco, especially when navigating Food and Drink situations like Ordering coffee."", 'examples': [""Example in a souk (market): 'بغيت قهوة' - used to ask for prices or greetings."", ""Polite interaction: 'بغيت قهوة!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'بغيت قهوة' is 'I want coffee'."", 'figurative': ""In a tourist context, it can imply 'I want coffee' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'بغيت قهوة'."", ""Shortened form: 'بغي'.""], 'similar_phrases': [""Phrases with similar intent: 'بغيت قهوة or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'بغيت قهوة' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'بغيت قهوة'.""], 'regional_variations': [""In northern Morocco, 'بغيت قهوة' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'بغيت قهوة?' when asking for the menu."", ""In a taxi: 'بغيت قهوة?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'بغيت قهوة' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'بغيت قهوة' for different intents.""], 'related_phrases': [""Phrases like 'بغيت قهوة' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'بغيت قهوة in context of 'Ordering coffee'.""]}"
ا,Ahlan,Hi,Salut,Hola,Ciao,Hallo,Greetings,Salutations,Saludos,Saluti,Grüße,Informal greeting,Salutation informelle,Saludo informal,Saluto informale,Informelle Begrüßung,/images/hi.jpg,35,beginner,easy,0,,"{'explanation': ""The phrase 'ا' is essential for tourists visiting Morocco, especially when navigating Greetings situations like Informal greeting."", 'examples': [""Example in a souk (market): 'ا' - used to ask for prices or greetings."", ""Polite interaction: 'ا!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'ا' is 'Hi'."", 'figurative': ""In a tourist context, it can imply 'Hi' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'ا'."", ""Shortened form: 'ا'.""], 'similar_phrases': [""Phrases with similar intent: 'ا or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'ا' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'ا'.""], 'regional_variations': [""In northern Morocco, 'ا' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'ا?' when asking for the menu."", ""In a taxi: 'ا?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'ا' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'ا' for different intents.""], 'related_phrases': [""Phrases like 'ا' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'ا in context of 'Informal greeting'.""]}"
واخا,Wakha,Okay,D'accord,Vale,Va bene,Okay,Basic Phrases,Phrases de base,Frases básicas,Frasi di base,Grundlegende Sätze,Agreeing,Être d'accord,Estar de acuerdo,Essere d'accordo,Zustimmen,/images/okay2.jpg,35,beginner,easy,0,,"{'explanation': ""The phrase 'واخا' is essential for tourists visiting Morocco, especially when navigating Basic Phrases situations like Agreeing."", 'examples': [""Example in a souk (market): 'واخا' - used to ask for prices or greetings."", ""Polite interaction: 'واخا!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'واخا' is 'Okay'."", 'figurative': ""In a tourist context, it can imply 'Okay' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'واخا'."", ""Shortened form: 'واخ'.""], 'similar_phrases': [""Phrases with similar intent: 'واخا or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'واخا' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'واخا'.""], 'regional_variations': [""In northern Morocco, 'واخا' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'واخا?' when asking for the menu."", ""In a taxi: 'واخا?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'واخا' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'واخا' for different intents.""], 'related_phrases': [""Phrases like 'واخا' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'واخا in context of 'Agreeing'.""]}"
فين؟,Fin?,Where?,Où?,¿Dónde?,Dove?,Wo?,Questions,Questions,Preguntas,Domande,Fragen,Asking location,Demander un lieu,Preguntar ubicación,Chiedere posizione,Nach Ort fragen,/images/where.jpg,35,beginner,easy,0,,"{'explanation': ""The phrase 'فين؟' is essential for tourists visiting Morocco, especially when navigating Questions situations like Asking location."", 'examples': [""Example in a souk (market): 'فين؟' - used to ask for prices or greetings."", ""Polite interaction: 'فين؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فين؟' is 'Where?'."", 'figurative': ""In a tourist context, it can imply 'Where?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فين؟'."", ""Shortened form: 'فين'.""], 'similar_phrases': [""Phrases with similar intent: 'فين؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فين؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فين؟'.""], 'regional_variations': [""In northern Morocco, 'فين؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فين؟?' when asking for the menu."", ""In a taxi: 'فين؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فين؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فين؟' for different intents.""], 'related_phrases': [""Phrases like 'فين؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فين؟ in context of 'Asking location'.""]}"
شكون؟,Shkun?,Who?,Qui?,¿Quién?,Chi?,Wer?,Questions,Questions,Preguntas,Domande,Fragen,Asking about people,Demander qui,Preguntar quién,Chiedere chi,Nach Personen fragen,/images/who.jpg,30,beginner,easy,0,,"{'explanation': ""The phrase 'شكون؟' is essential for tourists visiting Morocco, especially when navigating Questions situations like Asking about people."", 'examples': [""Example in a souk (market): 'شكون؟' - used to ask for prices or greetings."", ""Polite interaction: 'شكون؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'شكون؟' is 'Who?'."", 'figurative': ""In a tourist context, it can imply 'Who?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'شكون؟'."", ""Shortened form: 'شكو'.""], 'similar_phrases': [""Phrases with similar intent: 'شكون؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'شكون؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'شكون؟'.""], 'regional_variations': [""In northern Morocco, 'شكون؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'شكون؟?' when asking for the menu."", ""In a taxi: 'شكون؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'شكون؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'شكون؟' for different intents.""], 'related_phrases': [""Phrases like 'شكون؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'شكون؟ in context of 'Asking about people'.""]}"
علاش؟,3lash?,Why?,Pourquoi?,¿Por qué?,Perché?,Warum?,Questions,Questions,Preguntas,Domande,Fragen,Asking reason,Demander la raison,Preguntar por qué,Chiedere perché,Nach Grund fragen,/images/why.jpg,30,beginner,easy,0,,"{'explanation': ""The phrase 'علاش؟' is essential for tourists visiting Morocco, especially when navigating Questions situations like Asking reason."", 'examples': [""Example in a souk (market): 'علاش؟' - used to ask for prices or greetings."", ""Polite interaction: 'علاش؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'علاش؟' is 'Why?'."", 'figurative': ""In a tourist context, it can imply 'Why?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'علاش؟'."", ""Shortened form: 'علا'.""], 'similar_phrases': [""Phrases with similar intent: 'علاش؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'علاش؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'علاش؟'.""], 'regional_variations': [""In northern Morocco, 'علاش؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'علاش؟?' when asking for the menu."", ""In a taxi: 'علاش؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'علاش؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'علاش؟' for different intents.""], 'related_phrases': [""Phrases like 'علاش؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'علاش؟ in context of 'Asking reason'.""]}"
فوقاش؟,Fuqash?,When?,Quand?,¿Cuándo?,Quando?,Wann?,Questions,Questions,Preguntas,Domande,Fragen,Asking time,Demander quand,Preguntar cuándo,Chiedere quando,Nach Zeit fragen,/images/when.jpg,30,beginner,easy,0,,"{'explanation': ""The phrase 'فوقاش؟' is essential for tourists visiting Morocco, especially when navigating Questions situations like Asking time."", 'examples': [""Example in a souk (market): 'فوقاش؟' - used to ask for prices or greetings."", ""Polite interaction: 'فوقاش؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'فوقاش؟' is 'When?'."", 'figurative': ""In a tourist context, it can imply 'When?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'فوقاش؟'."", ""Shortened form: 'فوق'.""], 'similar_phrases': [""Phrases with similar intent: 'فوقاش؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'فوقاش؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'فوقاش؟'.""], 'regional_variations': [""In northern Morocco, 'فوقاش؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'فوقاش؟?' when asking for the menu."", ""In a taxi: 'فوقاش؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'فوقاش؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'فوقاش؟' for different intents.""], 'related_phrases': [""Phrases like 'فوقاش؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'فوقاش؟ in context of 'Asking time'.""]}"
كيفاش؟,Kifash?,How?,Comment?,¿Cómo?,Come?,Wie?,Questions,Questions,Preguntas,Domande,Fragen,Asking method,Demander comment,Preguntar cómo,Chiedere come,Nach Art fragen,/images/how.jpg,30,beginner,easy,0,,"{'explanation': ""The phrase 'كيفاش؟' is essential for tourists visiting Morocco, especially when navigating Questions situations like Asking method."", 'examples': [""Example in a souk (market): 'كيفاش؟' - used to ask for prices or greetings."", ""Polite interaction: 'كيفاش؟!' for starting a conversation.""], 'cultural_notes': ['This phrase is widely understood across Morocco and is often used in daily interactions with locals.', 'Using this phrase respectfully shows appreciation for Moroccan culture.']}","{'literal': ""The literal meaning of 'كيفاش؟' is 'How?'."", 'figurative': ""In a tourist context, it can imply 'How?' depending on the situation."", 'variations': [""Alternate pronunciations in local dialects: 'كيفاش؟'."", ""Shortened form: 'كيف'.""], 'similar_phrases': [""Phrases with similar intent: 'كيفاش؟ or related expressions used in different cities.'""]}","{'formal': [""Formally used in official settings: 'كيفاش؟' for polite greetings.""], 'informal': [""Informally used when chatting with shopkeepers or locals: 'كيفاش؟'.""], 'regional_variations': [""In northern Morocco, 'كيفاش؟' might sound slightly different.""], 'situational_examples': [""At a restaurant: 'كيفاش؟?' when asking for the menu."", ""In a taxi: 'كيفاش؟?' when discussing destinations or prices.""]}","{'synonyms': [""Synonyms of 'كيفاش؟' commonly used in urban areas.""], 'antonyms': [""Antonyms or opposing phrases to 'كيفاش؟' for different intents.""], 'related_phrases': [""Phrases like 'كيفاش؟' often paired with greetings or requests.""], 'common_combinations': [""Frequently combined with other phrases for directions or pricing: 'كيفاش؟ in context of 'Asking method'.""]}"
